I0,I1,I2,I3
0.800000,0.804651,0.012882,129378.265625
0.800000,0.825433,0.017652,129378.601563
0.800000,0.793531,0.003915,129378.937500
0.800000,0.786074,-0.006001,129379.273438
0.800000,0.796558,-0.007026,129379.609375
0.800000,0.795780,-0.006260,129379.945313
0.800000,0.798664,-0.006443,129380.281250
0.800000,0.793905,-0.009724,129380.617188
0.800000,0.809423,-0.006411,129380.953125
0.800000,0.792621,-0.007134,129381.289063
0.800000,0.819664,0.018019,129381.625000
0.800000,0.808731,0.002232,129381.960938
0.800000,0.782324,-0.012929,129382.296875
0.800000,0.806943,0.006645,129382.632813
0.800000,0.798795,0.005372,129382.968750
0.800000,0.806626,0.001649,129383.304688
0.800000,0.782641,-0.007933,129383.640625
0.800000,0.820443,0.017252,129383.976563
0.800000,0.803006,0.006537,129384.312500
0.800000,0.809005,0.003290,129384.648438
0.800000,0.801997,0.010184,129384.984375
0.800000,0.800626,0.004897,129385.320313
0.800000,0.808818,0.010109,129385.656250
0.800000,0.787444,-0.000714,129385.992188
0.800000,0.811572,-0.001890,129386.328125
0.800000,0.788410,-0.008300,129386.664063
0.800000,0.812251,0.012041,129387.000000
0.800000,0.836323,0.029500,129387.335938
0.800000,0.804968,0.017878,129387.671875
0.800000,0.805255,-0.003638,129388.007813
0.800000,0.782554,-0.015810,129388.343750
0.800000,0.798895,-0.009324,129388.679688
0.800000,0.787401,-0.004652,129389.015625
0.800000,0.808775,0.006171,129389.351563
0.800000,0.803828,0.009710,129389.687500
0.800000,0.812756,0.010217,129390.023438
0.800000,0.807087,-0.004113,129390.359375
0.800000,0.809049,0.007228,129390.695313
0.800000,0.805847,0.002416,129391.031250
0.800000,0.794727,-0.006551,129391.367188
0.800000,0.796054,-0.005203,129391.703125
0.800000,0.787862,-0.010414,129392.039063
0.800000,0.811790,0.017803,129392.375000
0.800000,0.800726,-0.009799,129392.710938
0.800000,0.796459,0.007670,129393.046875
0.800000,0.797742,0.005081,129393.382813
0.800000,0.796328,-0.004145,129393.718750
0.800000,0.803611,-0.009983,129394.054688
0.800000,0.795506,-0.007317,129394.390625
0.800000,0.803972,-0.001048,129394.726563
0.800000,0.791020,-0.009540,129395.062500
0.800000,0.796284,-0.008084,129395.398438
0.800000,0.794958,-0.009432,129395.734375
